,symbol,numShares,date
495,AMAT,-100.0,2009-09-28 00:00:00
496,KR,-100.0,2009-09-28 00:00:00
497,MCO,-100.0,2009-09-28 00:00:00
498,ACE,-100.0,2009-09-29 00:00:00
499,ROST,100.0,2009-10-09 00:00:00
500,T,100.0,2009-10-09 00:00:00
501,S,100.0,2009-10-13 00:00:00
502,BAX,100.0,2009-10-15 00:00:00
503,DFS,100.0,2009-10-16 00:00:00
504,MSI,100.0,2009-10-16 00:00:00
505,ROST,-100.0,2009-10-16 00:00:00
506,T,-100.0,2009-10-16 00:00:00
507,AIG,100.0,2009-10-19 00:00:00
508,AZO,100.0,2009-10-20 00:00:00
509,BCR,100.0,2009-10-20 00:00:00
510,BSX,100.0,2009-10-20 00:00:00
511,CCE,100.0,2009-10-20 00:00:00
512,DVA,100.0,2009-10-20 00:00:00
513,IPG,100.0,2009-10-20 00:00:00
514,LMT,100.0,2009-10-20 00:00:00
515,S,-100.0,2009-10-20 00:00:00
516,STI,100.0,2009-10-20 00:00:00
517,STT,100.0,2009-10-20 00:00:00
518,AMGN,100.0,2009-10-22 00:00:00
519,BAX,-100.0,2009-10-22 00:00:00
520,DFS,-100.0,2009-10-23 00:00:00
521,MSI,-100.0,2009-10-23 00:00:00
522,AIG,-100.0,2009-10-26 00:00:00
523,AZO,-100.0,2009-10-27 00:00:00
524,BCR,-100.0,2009-10-27 00:00:00
525,BSX,-100.0,2009-10-27 00:00:00
526,CCE,-100.0,2009-10-27 00:00:00
527,DVA,-100.0,2009-10-27 00:00:00
528,IPG,-100.0,2009-10-27 00:00:00
529,LMT,-100.0,2009-10-27 00:00:00
530,STI,-100.0,2009-10-27 00:00:00
531,STT,-100.0,2009-10-27 00:00:00
532,AMGN,-100.0,2009-10-29 00:00:00
533,DV,100.0,2009-11-09 00:00:00
534,DV,100.0,2009-11-11 00:00:00
535,KSS,100.0,2009-11-11 00:00:00
536,DV,-100.0,2009-11-16 00:00:00
537,JEC,100.0,2009-11-17 00:00:00
538,ADSK,100.0,2009-11-18 00:00:00
539,DV,-100.0,2009-11-18 00:00:00
540,KR,100.0,2009-11-18 00:00:00
541,KSS,-100.0,2009-11-18 00:00:00
542,HSY,100.0,2009-11-23 00:00:00
543,JEC,-100.0,2009-11-24 00:00:00
544,LTD,100.0,2009-11-24 00:00:00
545,YHOO,100.0,2009-11-24 00:00:00
546,ADSK,-100.0,2009-11-25 00:00:00
547,HSY,100.0,2009-11-25 00:00:00
